x 0 8 k=8:  Val. = 1 cost 273
x 0 26 k=26:  Val. = 1 cost 253
x 0 30 k=30:  Val. = 1 cost 624
x 0 34 k=34:  Val. = 1 cost 331
x 0 44 k=44:  Val. = 1 cost 481
x 0 47 k=47:  Val. = 1 cost 476
x 1 0 k=52:  Val. = 1 cost 1280
x 1 2 k=54:  Val. = 1 cost 116
x 1 3 k=55:  Val. = 1 cost 779
x 1 5 k=57:  Val. = 1 cost 782
x 1 7 k=59:  Val. = 1 cost 546
x 1 9 k=61:  Val. = 1 cost 586
x 1 12 k=64:  Val. = 1 cost 653
x 1 13 k=65:  Val. = 1 cost 298
x 1 14 k=66:  Val. = 1 cost 485
x 1 15 k=67:  Val. = 1 cost 516
x 1 16 k=68:  Val. = 1 cost 722
x 1 18 k=70:  Val. = 1 cost 570
x 1 19 k=71:  Val. = 1 cost 511
x 1 20 k=72:  Val. = 1 cost 362
x 1 21 k=73:  Val. = 1 cost 564
x 1 22 k=74:  Val. = 1 cost 303
x 1 24 k=76:  Val. = 1 cost 942
x 1 29 k=81:  Val. = 1 cost 414
x 1 33 k=85:  Val. = 1 cost 793
x 1 37 k=89:  Val. = 1 cost 288
x 1 38 k=90:  Val. = 1 cost 449
x 1 40 k=92:  Val. = 1 cost 670
x 1 45 k=97:  Val. = 1 cost 171
x 1 48 k=100:  Val. = 1 cost 748
x 2 1 k=105:  Val. = 1 cost 319
x 2 4 k=108:  Val. = 1 cost 660
x 2 6 k=110:  Val. = 1 cost 649
x 2 11 k=115:  Val. = 1 cost 288
x 2 17 k=121:  Val. = 1 cost 567
x 2 27 k=131:  Val. = 1 cost 625
x 2 28 k=132:  Val. = 1 cost 656
x 2 31 k=135:  Val. = 1 cost 818
x 2 36 k=140:  Val. = 1 cost 339
x 2 41 k=145:  Val. = 1 cost 344
x 2 42 k=146:  Val. = 1 cost 657
x 2 43 k=147:  Val. = 1 cost 389
x 2 50 k=154:  Val. = 1 cost 881
x 2 51 k=155:  Val. = 1 cost 281
x 3 10 k=166:  Val. = 1 cost 288
x 3 23 k=179:  Val. = 1 cost 228
x 3 25 k=181:  Val. = 1 cost 219
x 3 32 k=188:  Val. = 1 cost 88
x 3 35 k=191:  Val. = 1 cost 140
x 3 39 k=195:  Val. = 1 cost 97
x 3 46 k=202:  Val. = 1 cost 414
x 3 49 k=205:  Val. = 1 cost 620
