series,attrib,fcast_50,fcast_avg,fcast_05,fcast_95,true,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
0,sbAR,22.567555545772837,22.64642191916831,19.863835845398786,26.156621537486657,23,21.165225290743397,23.429794498971717,[21.94072527],22.741848363966366,24.379081101872288,30.725948389112148,36.18162888849417,24.09649113824695
1,sbAR,22.119450093087814,22.212633112284415,20.469126153713823,23.831372077541126,21,22.000000000000004,21.84180047595431,[22.355602],21.685817909481315,21.95234701282142,22.036874721191232,22.01829762541207,22.376642323911696
2,sbAR,24.48967101115977,24.87580394586359,22.25545598385345,28.419572421837263,25,23.643534007931954,24.968666918703693,[26.15000927],25.466396042883922,26.383524905207498,32.47414561321646,38.68189650469306,24.087590254614504
3,sbAR,20.35323781174964,20.53684821277657,17.008817874540895,23.765152528208354,18,19.97761562563841,20.493178264414095,[21.39386145],20.478092179107648,21.386954252549174,24.402299923076736,26.514759828634674,23.451897341376974
4,sbAR,17.375839531067953,17.47241515240575,15.889640996492341,19.02778990292537,17,16.29784671261898,17.119633181749712,[17.70905469],17.430178568227294,16.866374919981293,20.609729985889786,23.646337106359265,17.091585483331396
5,sbAR,14.858078093145467,14.808212067541367,11.940123734722839,17.45718539454673,15,14.456930384936665,15.803962749237025,[15.3692362],14.260673141227247,15.478909415111573,19.483994826037623,26.010444484767376,11.220351978129806
6,sbAR,15.63838130383586,15.689047153340688,13.635217970446812,18.297385421579488,16,14.468858252635652,16.307737039188613,[15.59655184],15.646725427159382,14.641238189422268,20.967066315064702,25.83359468517014,15.139923686107803
7,sbAR,11.88397582153738,11.969476308868412,10.743693987444873,13.326697323252573,12,11.56858431246241,11.999710191505455,[11.92772868],11.970425773733318,12.141499909811605,13.82274794156033,15.202424996122685,11.445554911341278
8,sbAR,25.254070216759445,25.159826858295105,23.207916573988282,26.906556227008654,25,24.470994777578138,24.58975014112547,[25.88021009],25.70963571225293,25.95665315831352,28.23284223234002,31.37590502246518,25.289217209399293
9,sbAR,14.029698242816043,14.31861363209024,12.255497663992216,17.25884803310639,16,13.807874457102017,14.690134337448187,[14.23060905],15.292794654878085,15.38042156287115,18.13320059585653,20.814317895605274,15.223922435494577
