series,attrib,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
0,AR,23,22.09227199913193,23.82908970066482,11.744164668366528,42.217998676471446,18.248499818249037,20.112035730080535,20.753052585923154,19.482924768804278,18.925421679815276,26.677197037795843,31.28524120787711,20.890304447686947
1,AR,21,21.381095282567426,21.867991221958725,15.077368415687054,30.19128802261661,22.066187411751248,22.07295779222525,22.57749577685182,22.019441424444373,21.131243225972135,22.19961547566018,22.15400155706266,23.358714878595034
2,AR,25,25.070248482487784,26.255679188316915,13.371700966919365,44.924663843406016,18.201473049075997,18.110090021925643,18.7533283938253,18.789248382051564,18.00782376463268,24.02300536843257,28.315902242205087,16.665221399404903
3,AR,18,19.76582056166972,21.73496548845088,10.154886191303557,42.068489941275935,14.652369186989434,15.18972529223045,15.762658126336481,14.978832907160458,13.209625409225978,18.0038615455335,19.436713121169472,17.032473158568934
4,AR,17,16.929794279812743,17.40858609348912,11.784569284397778,24.4545467084214,15.942763814913118,16.815218880026173,16.995738809623205,16.937383277981564,16.748116931065564,20.11074753364123,23.011807352635447,16.790162527186204
5,AR,15,13.20293685540483,14.623448034521255,6.30697413938563,27.021238075780346,16.337753776132008,17.123015809634115,17.16345496853306,16.02459182413461,14.944447996742362,22.227160707918085,29.233628450003504,12.438533501690856
6,AR,16,13.091840692552852,14.359145799676813,6.963529405561396,25.566870848012613,10.579554643926292,11.989717064731522,11.561140142018576,11.542574551736017,10.56169085687465,15.512472051087085,18.977199253317526,12.792845135754284
7,AR,12,12.667655101860495,13.29007637608281,7.73270313638879,21.573500940811655,13.042745562609404,13.596643261436538,13.842701676580932,13.563091376462404,14.913277067520493,15.686031134755224,17.22462414583911,13.16788851011474
8,AR,25,24.501782523685577,25.23200623295131,16.86877712280898,36.78265076981577,22.241646457854365,22.46820138023093,23.079635980382598,23.4917199319057,22.81281925369782,25.893562261818218,28.618821948706973,22.487211642764166
9,AR,16,12.218329060720269,13.649224454109838,6.039376315304524,28.20043642069182,16.688793888286913,18.16250445232015,17.89705277215707,18.58913921461032,16.86879924656974,22.339628970880497,25.486017051112853,18.261017956100588
10,AR,19,19.37163450828563,19.5399882959902,13.875846489293604,25.80492871346367,20.5847530671343,20.585784160613105,20.65852987922498,20.183511379207122,20.247946090835764,22.580164173180226,23.757395366843912,20.41850852337789
11,AR,12,11.134780053544771,12.055796020150177,4.879766016825155,24.217091996416773,18.865254305058137,22.104429237960087,20.1204858863937,19.707806071025505,19.82319706530701,25.942718788134492,32.25651260927429,22.854964802134003
12,AR,23,17.740579222596832,19.44990919341995,7.484819528880748,38.08083279837824,14.653722681102524,14.822027894803139,15.690651675318028,16.540867561977667,13.207009490040258,20.955430570742706,26.074654269163904,15.24037847698835
