series,attrib,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
0,rfAR,23,21.86489013497475,23.706369317691504,11.251831254582632,42.22404126549655,19.870651165486287,22.16144759962311,21.84194510915852,21.239986217572312,21.279491415886543,29.14951133163431,34.04389734393154,16.767394769076663
1,rfAR,21,22.090878868863598,23.04134037874711,17.11725155382553,31.015149209766815,22.000000000000004,21.78746352517735,21.69593838914068,21.768621544023482,21.31269460085933,22.024576285172344,22.012719158126398,23.27233915934222
2,rfAR,25,24.219685484900243,26.368587001186015,14.082525152348706,47.80864740710442,24.920820131155377,24.33976738426602,25.373304342978777,25.48248638271696,25.707493691900588,32.810879664469375,38.67820307667034,23.212724851547694
3,rfAR,18,18.63946311331394,21.260416535450577,8.613982422585423,35.97441282540202,18.74774696523961,19.692295724347055,20.148893998505454,19.056158381580804,17.39016895042962,23.10977304078635,24.868369073765955,22.134074700652985
4,rfAR,17,16.433683792249962,17.431389269741217,12.935429421541004,24.629920147328313,16.312101517910673,17.346632063365217,16.975614327634027,17.407931504225214,17.05010539928338,20.768701878338298,23.64192634946963,17.311349897896466
5,rfAR,15,14.665784771542926,15.6831319942846,8.043493371975709,30.215547916760194,14.573474428670742,15.476959315488042,15.210036915147839,14.208907063315369,13.316484685318192,19.885031563575357,25.996389382903672,10.974274286669278
6,rfAR,16,14.644783774491906,16.648840812004345,7.146649044540972,28.022505068253583,14.48161363906964,16.136369522040162,15.714718343809448,15.575440373558358,13.343959620728395,21.298961626404246,25.817174450475044,17.24130934351722
7,rfAR,12,11.671414040116497,12.354996257352118,7.059462507831022,20.642590460519823,11.539071840144384,12.000925479824891,12.028805923668775,11.967380415869775,11.942355288536374,13.921692894101373,15.196622647921624,11.898171693481544
8,rfAR,25,24.655962400990262,25.10337950903944,16.777557317138076,36.24151818301015,23.38695224600605,23.461005767303917,24.18668713015146,24.644815829687687,24.287745510677286,27.3431551723086,30.065413652689625,23.784087677263102
9,rfAR,16,12.945489133715348,14.378027511497963,6.380016781357863,26.447805837090137,12.428141273987144,13.334798423770634,13.294625156192096,14.167310506519279,13.333531911734545,16.68889016819256,18.923643365716487,13.440998922087473
10,rfAR,19,19.815585490963198,20.181726770569554,15.573138519370445,26.300280074893397,19.543790531055492,20.39326706465265,20.205604916479068,19.60493283834119,19.832291315813976,22.032795386745892,23.069744451732852,20.001375161567648
11,rfAR,12,9.27408236424638,10.514311548690314,5.499824059905491,19.97827081744326,9.55461228543275,11.538373573790645,10.511752936919034,10.068046342022773,10.47363894138137,13.345928775671842,16.44893086426568,10.790417889727868
12,rfAR,23,19.131523008737997,21.929218306754645,8.327797295581687,47.788308596705434,17.64006800494737,17.896825381093777,18.380278232908303,19.740632157500123,19.333783629859678,25.148368762693718,31.17868676242831,18.182537918632605
13,rfAR,23,21.090780955903085,22.342729223215784,12.764416394562227,35.71508769600523,18.991129691239085,20.313180217561847,21.316190490658638,21.478616041726266,19.326779754775313,27.149912255310728,34.595448295726385,19.2717991842461
14,rfAR,25,21.536083684946195,23.157856404832657,15.386810188206121,35.93454118310961,23.4809677975903,24.166869470343403,24.283110538480575,22.564573291408717,22.06865472324256,27.076248121275412,28.676240235753863,24.744254517722688
15,rfAR,19,19.487117493332143,24.29244891952914,9.210327720149598,52.5232710717312,20.300287377778744,20.97238113011377,21.44273064026884,20.357914318708982,18.886472554321557,23.020836405018255,26.495133083399395,28.157936722295595
