idserie,lstm_forecast,lstm_error,mlp_forecast,mlp_error,rf_forecst,rf_error,sarimax_forecast,sarimax_error,svm_forecast,svm_error,xgboos_forecsat,xgboost_error
0,21.52816005,2.47183995,26.09222223,-2.092222233,21.958,2.042,26.21578024,-2.215780241,16,8,21.99971771,2.000282288
1,22.04398697,0.956013025,22.73427364,0.265726356,21.616,1.384,22.49599736,0.504002637,22,1,21.99874115,1.00125885
2,22.54629315,7.45370685,21.17558701,8.82441299,23.924,6.076,27.96583916,2.034160842,18,12,23.99964714,6.000352859
3,18.49013657,2.509863428,21.37059402,-0.370594016,19.308,1.692,22.33583365,-1.335833652,16,5,19.9989624,1.001037598
4,17.27110802,0.728891977,18.1327557,-0.132755697,16.994,1.006,18.4786715,-0.478671499,17,1,16.99983978,1.000160217
5,13.93681413,5.063185869,15.44182714,3.558172856,14.062,4.938,16.21059247,2.789407533,10,9,14.00032425,4.999675751
6,14.91538502,2.084614976,20.2210571,-3.221057096,14.968,2.032,18.42061683,-1.420616827,13,4,14.99969101,2.00030899
7,12.38951817,1.610481828,12.53751697,1.462483027,12.03,1.97,13.07723634,0.922763658,12,2,12.00011539,1.999884605
8,24.78486896,3.215131044,26.9815648,1.018435205,24.998,3.002,27.9316634,0.068336603,23,5,24.9997139,3.000286102
9,13.83776686,3.162233137,14.81169574,2.188304258,14.174,2.826,16.58210066,0.417899337,10,7,14.00081635,2.999183655
10,19.98309779,0.016902208,19.90037535,0.09962465,19.858,0.142,19.49378385,0.506216147,21,-1,19.99973869,0.000261307
11,10.90091181,2.099088192,12.22482786,0.775172145,10.9,2.1,14.63799605,-1.637996047,10,3,10.99979115,2.000208855
12,21.39680823,3.603191775,23.18983683,1.810163167,19.152,5.848,26.08511336,-1.085113358,12,13,19.00041962,5.999580383
13,22.63379478,5.366205215,16.68681327,11.31318673,22.962,5.038,25.90625,2.09375,18,10,22.99964905,5.000350952
14,23.79299593,2.20700407,24.53768672,1.462313285,23.96,2.04,28.36858545,-2.368585451,21,5,23.99978447,2.00021553
15,17.60606084,8.393939161,19.92394645,6.07605355,20.19,5.81,22.4554541,3.544545896,11,15,20.99874115,5.00125885
16,17.40636833,3.593631667,17.09341801,3.906581993,18.416,2.584,20.59797657,0.402023433,14,7,18.99875832,2.001241684
17,11.77573443,2.224265569,16.08012591,-2.080125913,12.564,1.436,13.58760123,0.412398772,10,4,12.9987812,1.001218796
18,13.64770809,3.352291907,15.95233365,1.047666346,14.674,2.326,17.27446138,-0.274461384,11,6,14.99885368,2.001146317
19,9.721619257,2.278380743,9.704944995,2.295055005,9.886,2.114,11.28539765,0.714602348,10,2,9.999609947,2.000390053
20,23.59614022,4.403859776,24.69310938,3.306890622,24.946,3.054,27.8123697,0.187630302,20,8,25.99873161,2.001268387
21,20.92711706,11.07288294,23.55060924,8.449390761,21.534,10.466,29.40037608,2.599623919,9,23,21.998703,10.001297
22,29.8524572,3.147542798,30.83193809,2.168061912,30.962,2.038,33.88586442,-0.885864419,26,7,30.99947166,2.000528336
23,15.07389012,3.926109882,16.31106493,2.688935073,15.666,3.334,17.36327716,1.636722842,14,5,15.99868488,3.001315117
24,12.46107411,4.538925886,8.971771334,8.028228666,13.058,3.942,16.33700306,0.662996939,9,8,13.00025463,3.999745369
25,16.80738827,2.19261173,18.37297436,0.627025635,17.596,1.404,19.47332727,-0.473327271,13,6,17.9986763,1.0013237
26,14.14638084,2.853619163,14.84754292,2.152457082,14,3,16.18237875,0.81762125,13,4,14.0002985,2.9997015
27,15.25418482,3.745815184,14.9508465,4.049153497,16.196,2.804,18.18020566,0.819794342,12,7,16.99875259,2.001247406
28,10.29302811,0.706971893,10.33248057,0.667519427,9.984,1.016,10.24907403,0.750925974,10,1,10.00002766,0.999972343
29,18.48118654,3.518813464,22.06490464,-0.064904641,16.82,5.18,27.77743713,-5.777437131,9,13,16.99958611,5.000413895
30,8.75731796,-0.75731796,8.962350408,-0.962350408,9,-1,10.39959491,-2.399594913,13,-5,9.00023365,-1.00023365
31,11.23017871,2.769821286,10.99597943,3.004020575,11.08,2.92,13.14285512,0.857144876,11,3,11.00033951,2.999660492
32,12.33824157,1.661758433,11.214949,2.785051001,12.7,1.3,15.31542528,-1.315425277,12,2,12.99880886,1.001191139
33,21.04286428,5.957135724,18.4539068,8.546093203,20.462,6.538,28.67137997,-1.67137997,15,12,20.00040054,6.999599457
34,11.54715967,-0.547159672,12.96277389,-1.962773889,10.974,0.026,11.8494963,-0.849496304,12,-1,11.00000954,-9.53674E-06
35,17.36424871,0.635751288,14.24373479,3.756265209,16.994,1.006,17.6722764,0.327723599,18,0,17.0000248,0.999975204
