id	sol	c[0]	c[1]	c[2]	c[3]	cost	regret		node
0	0	488	1280	993	678	488	0		
1	2	411	745	319	206	319	113		
2	1	479	116	667	778	116	0		
3	2	445	779	390	224	390	166		
4	1	458	394	660	673	394	0		
5	2	196	782	172	173	172	0		
6	3	587	1126	649	319	319	0		
7	3	230	546	343	123	123	0		
8	1	273	456	547	494	456	183		
9	0	213	586	480	363	213	0		
10	2	149	425	195	288	195	46		
11	2	449	783	288	383	288	0		
12	0	73	653	287	237	73	0		
13	1	481	298	682	704	298	0		
14	1	339	485	322	428	485	163		
15	0	86	516	301	389	86	0		
16	2	131	722	202	196	202	71		
17	1	320	313	567	595	313	0		
18	2	60	570	251	345	251	191		
19	0	133	511	408	386	133	0		
20	1	75	362	277	245	362	287		
21	2	230	564	302	94	302	208		
22	1	62	303	263	285	303	241		
23	2	186	755	123	228	123	0		
24	2	389	942	169	294	169	0		
25	2	103	438	188	219	188	85		
26	1	253	495	455	354	495	242		
27	1	426	123	625	650	123	0		
28	1	454	461	656	595	461	7		
29	1	123	414	321	219	414	291		
30	3	624	1040	792	477	477	0		
31	1	546	637	818	659	637	91		
32	3	275	868	249	88	88	0		
33	2	202	793	262	105	262	157		
34	3	331	579	488	305	305	0		
35	3	159	493	307	140	140	0		
36	1	137	310	339	361	310	173		
37	1	482	288	579	781	288	0		
38	1	179	449	377	275	449	270		
39	3	396	975	422	97	97	0		
40	0	80	670	222	238	80	0		
41	3	189	750	344	151	151	0		
42	2	801	863	657	989	657	0		
43	3	238	567	389	206	206	0		
44	3	481	712	626	401	401	0		
45	1	462	171	688	746	171	0		
46	1	312	387	514	414	387	75		
47	2	476	1046	282	304	282	0		
48	3	303	748	517	286	286	0		
49	1	338	423	397	620	423	85		
50	1	651	921	881	617	921	304		
51	2	644	1773	281	476	281	0		
