{name},{ncli},{nser},{nmult},{hexlb},{hexub},{thex},{lbcost},{tlp},{optcost},{tmip}
inst_52_4_0_0,52,4,1,15553.0,15553.0,0.4375,15419.866437821815,0.25,15553.0,0.234375
inst_52_4_0_1,52,4,1,63059.806310254164,63060.0,0.5,62640.67786439876,0.265625,63060.0,0.265625
inst_52_4_0_2,52,4,1,172654.85793719516,172793.0,4.1875,172181.60162601626,0.28125,172793.0,0.234375
inst_52_4_0_3,52,4,1,150072.64539209937,154621.0,0.140625,149922.39870582378,0.265625,150938.0,0.265625
inst_52_4_0_4,52,4,1,267125.28147484106,268124.0,4.875,265874.62596613914,0.296875,267592.0,0.25
inst_52_4_4_0,52,4,1,135016.58651412348,135161.0,2.515625,134523.05742690057,0.25,135161.0,0.28125
inst_52_4_4_1,52,4,1,136332.96686159843,136575.0,0.46875,136115.0480549199,0.28125,136575.0,0.265625
inst_52_4_4_2,52,4,1,172672.88263062027,173258.0,3.71875,172371.2926021347,0.28125,173090.0,0.265625
inst_52_4_4_3,52,4,1,-1,-1,0.015625,254486.6476094276,0.28125,255410.0,0.265625
inst_52_4_4_4,52,4,1,138116.0,138116.0,0.703125,137564.58325791854,0.265625,138116.0,0.265625
inst_50_5_0_0,50,5,1,158724.12614569144,163983.0,0.28125,158628.59965635737,0.34375,159074.99999999415,0.359375
inst_50_5_0_1,50,5,1,142061.88194568834,142205.0,4.390625,141500.52213178296,0.375,142205.0,0.328125
inst_50_5_0_2,50,5,1,182194.29630349908,182614.0,4.25,181456.3686594203,0.390625,182613.99999999907,0.375
inst_50_5_0_3,50,5,1,120708.13771475025,120715.0,2.046875,120255.65713506882,0.375,120717.0,0.359375
inst_50_5_0_4,50,5,1,134827.0,134827.0,0.3125,134416.6461637653,0.359375,134827.0,0.375
inst_50_5_5_0,50,5,1,199963.41109457877,201247.0,2.671875,199671.05934343435,0.34375,200506.9999999988,0.328125
inst_50_5_5_1,50,5,1,163522.512993018,163754.0,4.5625,163243.3103448276,0.34375,163754.0,0.359375
inst_50_5_5_2,50,5,1,122977.23633968428,123261.0,4.359375,122651.7040860215,0.34375,123260.99999999993,0.359375
inst_50_5_5_3,50,5,1,143458.68000034642,144040.0,3.984375,143156.88213737262,0.359375,143887.0,0.359375
inst_50_5_5_4,50,5,1,213882.2581931808,219995.0,0.609375,213616.21479427838,0.375,214656.0,0.34375
inst_50_10_0_0,50,10,1,135141.3375205311,135548.0,9.4375,134520.71615673645,1.203125,135371.0,1.21875
inst_50_10_0_1,50,10,1,137000.7998945672,137549.0,11.328125,135616.93934558195,1.265625,137317.0,1.265625
inst_50_10_0_2,50,10,1,194123.60820327816,197496.0,9.078125,192066.41921175222,1.3125,194626.0,1.25
inst_50_10_0_3,50,10,1,170360.65239865668,173427.0,10.453125,167919.42616628477,1.265625,170960.9999998877,1.28125
inst_50_10_0_4,50,10,1,154818.1551001552,155433.0,7.0625,153929.96280035377,1.234375,155093.0,1.296875
inst_50_10_5_0,50,10,1,150088.05713017157,153848.0,7.234375,148701.36953769482,1.1875,150986.00000000026,1.234375
inst_50_10_5_1,50,10,1,156971.23240749104,157413.0,8.34375,156290.8319706198,1.25,157348.0,1.25
inst_50_10_5_2,50,10,1,139482.79860974255,141682.0,7.4375,138289.92004115862,1.28125,140222.00000000134,1.28125
inst_50_10_5_3,50,10,1,177773.34407608653,179921.0,6.8125,176070.74890176166,1.296875,178712.99999999997,1.28125
inst_50_10_5_4,50,10,1,141039.29552835482,146021.0,8.34375,139416.85792220113,1.296875,142157.0,1.265625
inst_50_10_10_0,50,10,1,164698.74246119373,167387.0,8.875,163713.93606143672,1.171875,165807.0,1.25
inst_50_10_10_1,50,10,1,112219.41331007259,116419.0,5.640625,110799.14934988334,1.25,112968.0,1.3125
inst_50_10_10_2,50,10,1,136245.71374937223,136884.0,10.3125,135328.43944624002,1.25,136512.0,1.265625
inst_50_10_10_3,50,10,1,139697.63916326145,140490.0,10.796875,139119.1225490196,1.28125,140273.0,1.234375
inst_50_10_10_4,50,10,1,148014.65944830154,150059.0,5.96875,147193.97187170916,1.234375,149125.99999997174,1.21875
inst_100_10_10_0,100,10,1,313484.37167278666,316143.0,23.390625,312502.54422631685,4.84375,314245.0000006448,4.9375
inst_100_10_10_1,100,10,1,277196.0913058681,278278.0,28.890625,276571.0420235439,4.921875,278199.00000019255,5.03125
inst_100_10_10_2,100,10,1,247405.00588164636,248951.0,31.859375,246869.33906203147,5.015625,248064.99999995853,5.015625
inst_100_10_10_3,100,10,1,275013.82592543925,276348.0,31.1875,274689.2401815576,5.03125,275358.0,5.078125
inst_100_10_10_4,100,10,1,277353.4093384127,278924.0,30.546875,277005.3904701975,5.015625,277868.0,5.015625
inst_100_50_10_0,100,50,1,242997.73648879112,251084.0,605.359375,234111.18807076706,138.53125,245324.0,149.21875
inst_100_50_10_1,100,50,1,237660.26451228507,240656.0,711.0,229145.03239589647,131.078125,239677.99999993225,129.703125
inst_100_50_10_2,100,50,1,229930.98540185645,237431.0,704.046875,224500.2967834362,129.796875,232128.0,125.8125
inst_100_50_10_3,100,50,1,253635.96835135133,260555.0,712.78125,245029.51682664105,123.875,256774.99999999773,125.515625
inst_100_50_10_4,100,50,1,233633.78343979045,239987.0,710.6875,225924.26872280557,126.140625,236050.00000000038,126.25
inst_100_50_10_0,100,50,1,242923.21454223263,251488.0,154.5,234111.18807076706,26.171875,245324.0,27.59375
inst_100_50_10_1,100,50,1,237490.38476545698,251570.0,146.421875,229145.03239589647,27.625,239677.99999993225,27.59375
inst_100_50_10_2,100,50,1,229862.86982528365,237614.0,126.015625,224500.2967834362,28.75,232128.0,27.09375
inst_100_50_10_3,100,50,1,253540.76154831995,265904.0,179.375,245029.51682664105,30.625,256949.00000010047,31.703125
inst_100_50_10_4,100,50,1,233612.23609104854,244889.0,145.078125,225924.26872280557,25.546875,236050.00000000038,25.84375
inst_100_50_25_0,100,50,1,255246.16287754636,280096.0,157.09375,249354.04051654792,28.75,259431.0,30.0
inst_100_50_25_1,100,50,1,255842.4928225024,285264.0,158.984375,252275.4626980722,30.59375,265850.0,32.1875
inst_100_50_25_2,100,50,1,240314.28643367233,260334.0,154.859375,235065.0133294764,30.515625,243395.0,29.96875
