,cust0,cust1,cust2,cust3,cust4,cust5,cust6,cust7,cust8,cust9,cust10,cust11,cust12,cust13,cust14,cust15,cust16,cust17,cust18,cust19,cust20,cust21,cust22,cust23,cust24,cust25,cust26,cust27,cust28,cust29,cust30,cust31,cust32,cust33,cust34,cust35,cust36,cust37,cust38,cust39,cust40,cust41,cust42,cust43,cust44,cust45,cust46,cust47,cust48,cust49,cust50,cust51
0,16,22,19,15,17,11,13,12,23,10,21,10,13,17,20,12,14,9,12,9,20,9,26,14,10,13,14,11,10,9,14,10,11,15,12,19,22,15,10,12,9,12,16,17,17,13,19,10,14,15,17,13
1,15,22,18,15,17,10,13,12,23,9,20,10,12,18,19,11,13,8,11,8,19,8,25,14,9,13,13,11,10,9,13,10,11,15,12,18,22,14,8,12,9,11,16,16,17,12,18,9,14,14,17,13
2,16,22,18,16,17,10,13,12,23,10,21,10,12,18,21,11,14,10,11,10,20,9,26,14,9,13,13,12,10,9,13,11,12,15,12,18,23,14,10,12,10,12,17,16,16,12,19,9,14,15,18,14
3,16,23,18,15,17,11,13,12,23,10,21,10,13,18,21,12,14,10,12,9,21,10,25,15,9,14,14,12,9,10,12,11,12,15,12,18,23,15,9,13,10,11,16,17,16,12,19,9,13,15,17,13
4,17,23,19,15,18,11,14,12,24,11,21,10,14,18,21,13,15,9,12,9,20,11,26,15,10,13,14,11,10,10,13,10,11,17,12,19,23,15,10,13,9,11,16,17,17,13,20,9,14,15,18,13
5,17,22,19,16,17,11,14,12,24,11,21,11,13,19,22,13,15,10,12,9,21,11,26,15,10,14,13,13,10,10,13,11,12,16,12,18,23,15,10,13,9,12,16,17,16,13,20,9,15,15,19,14
6,18,23,19,16,18,11,14,13,24,11,21,10,14,19,21,13,15,11,12,10,21,11,27,15,10,14,13,13,10,11,12,11,12,17,13,19,24,16,11,14,10,11,17,18,17,13,19,9,14,15,19,14
7,17,22,19,16,17,11,13,12,24,11,21,11,14,19,21,13,14,10,12,9,21,11,26,14,10,13,13,12,10,10,13,11,11,16,12,17,24,16,10,13,10,11,16,17,16,12,19,8,14,16,19,13
8,18,22,20,17,17,12,14,13,24,11,22,11,13,18,22,13,15,10,12,10,22,13,27,15,11,14,13,13,10,12,12,10,11,17,12,18,23,16,12,14,10,12,16,17,17,13,19,8,14,16,19,14
9,18,23,21,16,18,12,15,13,25,12,21,11,14,20,21,13,15,10,12,10,22,12,26,15,11,15,14,13,11,11,13,11,12,18,12,18,24,17,11,14,10,11,16,19,17,13,20,9,14,16,19,14
10,17,22,20,16,17,12,14,12,24,12,21,11,15,19,22,15,15,9,13,10,22,13,26,16,11,15,14,12,11,12,12,10,12,16,12,18,24,17,12,15,10,11,16,17,17,14,20,9,14,16,19,14
11,21,24,22,18,18,13,15,13,26,12,22,12,17,21,23,17,18,13,14,10,23,16,30,17,13,17,15,13,12,14,13,11,14,19,14,19,25,18,13,16,12,13,17,19,18,14,21,9,15,18,21,15
12,19,23,20,17,18,11,14,12,25,12,20,10,14,19,22,14,15,10,12,10,22,14,27,15,11,14,14,12,10,13,12,10,11,17,12,17,24,17,12,15,10,11,17,17,16,13,19,8,14,16,20,13
13,17,22,19,15,17,10,13,12,23,11,20,9,14,19,21,13,15,9,11,10,22,13,27,14,10,14,13,12,10,11,11,10,11,17,11,18,23,15,10,14,10,11,16,17,15,12,18,7,13,16,19,13
14,19,22,20,17,17,11,14,12,24,11,21,10,15,20,21,14,15,10,12,9,21,13,27,14,11,15,13,12,10,11,11,10,11,18,11,18,24,16,12,14,10,11,16,17,16,13,18,8,13,16,20,13
15,17,22,20,16,17,11,13,13,24,11,21,10,14,20,22,13,15,10,12,9,21,13,27,14,11,15,13,13,10,12,11,10,11,16,11,18,24,16,11,14,10,11,15,18,16,13,19,8,13,15,20,13
16,19,22,20,17,17,12,15,12,24,12,21,10,15,20,22,16,15,10,12,10,22,15,28,15,10,15,14,13,10,13,11,10,12,17,11,18,24,17,11,15,11,11,16,18,16,13,20,8,14,17,20,14
