idserie,month,periodo,val
0,19-Jan,0,16
0,19-Feb,1,15
0,19-Mar,2,16
0,19-Apr,3,16
0,19-May,4,17
0,19-Jun,5,17
0,19-Jul,6,18
0,19-Aug,7,17
0,19-Sep,8,18
0,19-Oct,9,18
0,19-Nov,10,17
0,19-Dec,11,21
0,20-Jan,12,19
0,20-Feb,13,17
0,20-Mar,14,19
0,20-Apr,15,17
0,20-May,16,19
0,20-Jun,17,19
0,20-Jul,18,20
0,20-Aug,19,19
0,20-Sep,20,19
0,20-Oct,21,21
0,20-Nov,22,19
0,20-Dec,23,21
0,21-Jan,24,19
0,21-Feb,25,20
0,21-Mar,26,20
0,21-Apr,27,20
0,21-May,28,19
0,21-Jun,29,22
0,21-Jul,30,21
0,21-Aug,31,21
0,21-Sep,32,22
0,21-Oct,33,21
0,21-Nov,34,22
0,21-Dec,35,26
0,22-Jan,36,21
0,22-Feb,37,21
0,22-Mar,38,21
0,22-Apr,39,22
0,22-May,40,22
0,22-Jun,41,22
0,22-Jul,42,22
0,22-Aug,43,22
0,22-Sep,44,23
0,22-Oct,45,23
0,22-Nov,46,22
0,22-Dec,47,24
1,19-Jan,0,22
1,19-Feb,1,22
1,19-Mar,2,22
1,19-Apr,3,23
1,19-May,4,23
1,19-Jun,5,22
1,19-Jul,6,23
1,19-Aug,7,22
1,19-Sep,8,22
1,19-Oct,9,23
1,19-Nov,10,22
1,19-Dec,11,24
1,20-Jan,12,23
1,20-Feb,13,22
1,20-Mar,14,22
1,20-Apr,15,22
1,20-May,16,22
1,20-Jun,17,22
1,20-Jul,18,22
1,20-Aug,19,22
1,20-Sep,20,22
1,20-Oct,21,22
1,20-Nov,22,22
1,20-Dec,23,24
1,21-Jan,24,21
1,21-Feb,25,21
1,21-Mar,26,21
1,21-Apr,27,22
1,21-May,28,22
1,21-Jun,29,22
1,21-Jul,30,21
1,21-Aug,31,22
1,21-Sep,32,22
1,21-Oct,33,22
1,21-Nov,34,22
1,21-Dec,35,22
1,22-Jan,36,21
1,22-Feb,37,21
1,22-Mar,38,21
1,22-Apr,39,21
1,22-May,40,21
1,22-Jun,41,22
1,22-Jul,42,22
1,22-Aug,43,21
1,22-Sep,44,21
1,22-Oct,45,22
1,22-Nov,46,21
1,22-Dec,47,23
2,19-Jan,0,19
2,19-Feb,1,18
2,19-Mar,2,18
2,19-Apr,3,18
2,19-May,4,19
2,19-Jun,5,19
2,19-Jul,6,19
2,19-Aug,7,19
2,19-Sep,8,20
2,19-Oct,9,21
2,19-Nov,10,20
2,19-Dec,11,22
2,20-Jan,12,20
2,20-Feb,13,19
2,20-Mar,14,20
2,20-Apr,15,20
2,20-May,16,20
2,20-Jun,17,21
2,20-Jul,18,21
2,20-Aug,19,22
2,20-Sep,20,22
2,20-Oct,21,23
2,20-Nov,22,22
2,20-Dec,23,25
2,21-Jan,24,23
2,21-Feb,25,20
2,21-Mar,26,22
2,21-Apr,27,21
2,21-May,28,22
2,21-Jun,29,22
2,21-Jul,30,23
2,21-Aug,31,23
2,21-Sep,32,22
2,21-Oct,33,23
2,21-Nov,34,23
2,21-Dec,35,27
2,22-Jan,36,22
2,22-Feb,37,21
2,22-Mar,38,23
2,22-Apr,39,24
2,22-May,40,24
2,22-Jun,41,24
2,22-Jul,42,24
2,22-Aug,43,24
2,22-Sep,44,25
2,22-Oct,45,25
2,22-Nov,46,26
2,22-Dec,47,30
3,19-Jan,0,15
3,19-Feb,1,15
3,19-Mar,2,16
3,19-Apr,3,15
3,19-May,4,15
3,19-Jun,5,16
3,19-Jul,6,16
3,19-Aug,7,16
3,19-Sep,8,17
3,19-Oct,9,16
3,19-Nov,10,16
3,19-Dec,11,18
3,20-Jan,12,17
3,20-Feb,13,15
3,20-Mar,14,17
3,20-Apr,15,16
3,20-May,16,17
3,20-Jun,17,17
3,20-Jul,18,17
3,20-Aug,19,17
3,20-Sep,20,17
3,20-Oct,21,18
3,20-Nov,22,17
3,20-Dec,23,20
3,21-Jan,24,17
3,21-Feb,25,16
3,21-Mar,26,18
3,21-Apr,27,18
3,21-May,28,17
3,21-Jun,29,19
