algorithm,series,error
lstm,0,2.47183995
lstm,1,0.956013025
lstm,2,7.45370685
lstm,3,2.509863428
lstm,4,0.728891977
lstm,5,5.063185869
lstm,6,2.084614976
lstm,7,1.610481828
lstm,8,3.215131044
lstm,9,3.162233137
lstm,10,0.016902208
lstm,11,2.099088192
lstm,12,3.603191775
lstm,13,5.366205215
lstm,14,2.20700407
lstm,15,8.393939161
lstm,16,3.593631667
lstm,17,2.224265569
lstm,18,3.352291907
lstm,19,2.278380743
lstm,20,4.403859776
lstm,21,11.07288294
lstm,22,3.147542798
lstm,23,3.926109882
lstm,24,4.538925886
lstm,25,2.19261173
lstm,26,2.853619163
lstm,27,3.745815184
lstm,28,0.706971893
lstm,29,3.518813464
lstm,30,-0.75731796
lstm,31,2.769821286
lstm,32,1.661758433
lstm,33,5.957135724
lstm,34,-0.547159672
lstm,35,0.635751288
lstm,36,3.477976122
lstm,37,5.259883474
lstm,38,6.610641008
lstm,39,3.375966389
lstm,40,3.333323717
lstm,41,0.818965224
lstm,42,0.859447837
lstm,43,1.487911865
lstm,44,-1.316014379
lstm,45,2.23014617
lstm,46,0.851540451
lstm,47,-0.368656995
lstm,48,0.075365958
lstm,49,2.659615437
lstm,50,4.708910589
lstm,51,3.12877759
mlp,0,-2.092222233
mlp,1,0.265726356
mlp,2,8.82441299
mlp,3,-0.370594016
mlp,4,-0.132755697
mlp,5,3.558172856
mlp,6,-3.221057096
mlp,7,1.462483027
mlp,8,1.018435205
mlp,9,2.188304258
mlp,10,0.09962465
mlp,11,0.775172145
mlp,12,1.810163167
mlp,13,11.31318673
mlp,14,1.462313285
mlp,15,6.07605355
mlp,16,3.906581993
mlp,17,-2.080125913
mlp,18,1.047666346
mlp,19,2.295055005
mlp,20,3.306890622
mlp,21,8.449390761
mlp,22,2.168061912
mlp,23,2.688935073
mlp,24,8.028228666
mlp,25,0.627025635
mlp,26,2.152457082
mlp,27,4.049153497
mlp,28,0.667519427
mlp,29,-0.064904641
mlp,30,-0.962350408
mlp,31,3.004020575
mlp,32,2.785051001
mlp,33,8.546093203
mlp,34,-1.962773889
