model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,-88.55874835451293,0.10542122093701135,-1.7030528529714024,1.9322973234276735,-0.09081732965131631,2.701527865974414,-0.12964075019127647,0.9226807263748046
fcast_avg,-34.89210951121619,0.07592068434900517,-0.6710021059849267,1.3841474562154552,-0.030673294150224385,1.9471749947283312,-0.08784135632615446,0.9418513668935036
fcast_05,-415.6023463866278,0.46127010157125076,-7.992352815127457,7.992352815127457,-0.46127010157125076,8.699634776975776,-0.020623660454098594,0.7753707590366703
fcast_95,530.4409701193664,0.610538440084046,10.200787886910891,10.200787886910891,0.610538440084046,11.487690129929707,0.2488159862309801,0.8179771301305978
yar,-66.88419409932708,0.24933558466140626,-1.286234501910136,4.264378575674445,-0.06248734844431182,5.836913045283002,-0.06460058587284993,0.6208842903595916
yhw,-32.17134267728659,0.23943640851275044,-0.6186796668708959,4.114444227946659,-0.021365828781920247,5.733981177946617,-0.0554873863914909,0.6213563916774211
ysvm,-32.88358648798836,0.24219053322557754,-0.6323766632305454,4.158600617716285,-0.021586409079183654,6.065190665696942,-0.04305300959280579,0.5946606599350837
ylstm,-41.49712127256217,0.25417740932260263,-0.7980215629338878,4.350256291226294,-0.032776102054110266,6.119095575177824,-0.06503415055557737,0.598527104279463
ymlp,-57.056310249700594,0.25283709874179033,-1.0972367355711652,4.39250696485165,-0.04921445481856327,6.2265129055256025,-0.05480571492147114,0.5828436863486759
yrf,113.47965850443657,0.2764024208704636,2.182301125085319,4.794783951723776,0.13926376518401928,6.955439581272617,0.08511527782070534,0.6115310035940636
yxgb,242.49902877485965,0.3831997980376326,4.663442861054993,6.52589429338555,0.29091859041644214,9.591007722447248,0.13976169221411347,0.5238844470341445
yarima,-46.52808914971773,0.2574740604339239,-0.8947709451868794,4.347792258738163,-0.03749844946470326,6.068143939078015,-0.1086458041220801,0.5965853285692397
