model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,-106.78733427080753,0.1284191561871384,-2.0536025821309143,2.254864742665451,-0.1131322096827875,2.9509180511667985,-0.21829757762884305,0.9210304734072695
fcast_avg,-57.420546328902006,0.08448549347468098,-1.1042412755558078,1.5089069221699514,-0.05754094808545058,2.018567710278679,-0.15423446404131483,0.9506214466723688
fcast_05,-419.2288271828543,0.46581637918266205,-8.062092830439505,8.062092830439505,-0.46581637918266205,8.750312342591029,-0.0009746946867644252,0.7811796846384296
fcast_95,486.01939125634834,0.5495325151968069,9.346526754929776,9.346526754929776,0.5495325151968069,10.886053868291759,0.1195176733696537,0.8279487055244391
yar,-148.7860657183201,0.25643075062846876,-2.8612704945830787,4.447009513526392,-0.1800529830732885,5.49939157996216,-0.16703746268803743,0.768703687771767
yhw,-107.7530047644903,0.2422143593330655,-2.0721731685478906,4.211655857630008,-0.13241553661515426,5.181404692786652,-0.09578833527030366,0.7691184431973757
ysvm,-110.22973793220427,0.24765709950289122,-2.11980265254239,4.299501997596076,-0.1350098270855699,5.291381582980311,-0.11304515319694954,0.7600971729874041
ylstm,-119.48443813819773,0.24626659887949418,-2.2977776565038024,4.281623068186331,-0.1469741707750458,5.305669131040416,-0.13778640455155847,0.7698857172717635
ymlp,-144.07804899518004,0.25577772816383243,-2.77073171144577,4.437612349315391,-0.17472891837677446,5.443351252067677,-0.19312357434669272,0.7722285018114404
yrf,23.88517246066789,0.23423230984880292,0.4593302396282286,4.069591267986782,0.011502295589778114,5.410934718956466,-0.0284455360896187,0.7684412912721585
yxgb,137.98017907183961,0.28716372085913294,2.6534649821507617,5.092819870670554,0.14406727711778483,7.46790964797595,0.0414856586746666,0.6837612595972941
yarima,-956.0,1.0647184226977817,-18.384615384615383,18.384615384615383,-1.0647184226977817,19.172295717438825,0.146068452999146,
