model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,-3.632562826,0.069627667,-0.069856977,1.218636663,0.001775461,1.511923298,-0.095497006,0.960881306
fcast_avg,98.66923686,0.124565146,1.897485324,2.040772927,0.11774452,2.758788622,0.079068738,0.939639859
fcast_05,-457.1775766,0.508352464,-8.791876474,8.791876474,-0.508352464,9.452079451,0.017484228,0.772939482
fcast_95,1013.268901,1.144652386,19.4859404,19.4859404,1.144652386,22.38504696,0.165448884,0.686883007
yar,-21.73314026,0.346892716,-0.417945005,5.842025963,-0.032723364,7.641682699,-0.022494319,0.59227068
yhw,24.95713099,0.339295754,0.479944827,5.746562209,0.021280989,7.895994691,-0.009106888,0.587061405
ysvm,30.35928049,0.331759139,0.583832317,5.661493849,0.026913077,7.756529999,0.016626042,0.595610681
ylstm,10.3287476,0.340317697,0.198629761,5.762565123,0.002762259,7.741175401,-0.010286229,0.598362845
ymlp,-18.59145265,0.339849888,-0.357527936,5.690099703,-0.024449479,7.571473521,-0.021611278,0.582581884
yrf,171.8727651,0.368947413,3.305245482,6.385188125,0.179377513,9.663600097,-0.029639043,0.589066327
yxgb,300.7406797,0.45582447,5.78347461,7.964892124,0.327275473,11.8300303,-0.002588099,0.554191169
yarima,-3.948448509,0.337689771,-0.075931702,5.691311974,-0.005666913,7.629608233,-0.03720038,0.574272043
,,,,,,,,
,,,,,,,,
model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,-0.04,0.07,-0.07,1.22,0,1.51,-0.1,0.96
fcast_avg,0.99,0.12,1.9,2.04,0.12,2.76,0.08,0.94
fcast_05,-4.57,0.51,-8.79,8.79,-0.51,9.45,0.02,0.77
fcast_95,10.13,1.14,19.49,19.49,1.14,22.39,0.17,0.69
yar,-0.22,0.35,-0.42,5.84,-0.03,7.64,-0.02,0.59
yhw,0.25,0.34,0.48,5.75,0.02,7.9,-0.01,0.59
ysvm,0.3,0.33,0.58,5.66,0.03,7.76,0.02,0.6
ylstm,0.1,0.34,0.2,5.76,0,7.74,-0.01,0.6
ymlp,-0.19,0.34,-0.36,5.69,-0.02,7.57,-0.02,0.58
yrf,1.72,0.37,3.31,6.39,0.18,9.66,-0.03,0.59
yxgb,3.01,0.46,5.78,7.96,0.33,11.83,0,0.55
yarima,-0.04,0.34,-0.08,5.69,-0.01,7.63,-0.04,0.57
