Instance,num.scen.,num.boost,repet.,status,cur_numcols,cur_numrows,numInfeasibilities,optimal,objval,total_time
inst_52_4_0_0,100,75,0,0,26208,31600,0,1,16588,286.681
inst_52_4_0_0,100,75,1,0,26208,31600,0,1,16562,32.728
inst_52_4_0_0,100,75,2,0,26208,31600,0,1,16814,500.735
inst_52_4_0_0,100,75,3,0,26208,31600,0,1,16675,104.544
inst_52_4_0_0,100,75,4,0,26208,31600,0,1,16502,91.294
inst_52_4_0_0,100,75,5,0,26208,31600,0,1,16815,406.822
inst_52_4_0_0,100,75,6,0,26208,31600,0,1,16504,162.384
inst_52_4_0_0,100,75,7,0,26208,31600,0,1,16660,141.073
inst_52_4_0_0,100,75,8,0,26208,31600,0,1,16869,210.676
inst_52_4_0_0,100,75,9,0,26208,31600,0,1,16571,161.473
inst_52_4_0_0,100,75,10,0,26208,31600,0,1,16512,185.679
inst_52_4_0_0,100,75,11,0,26208,31600,0,1,16663,277.775
inst_52_4_0_0,100,75,12,0,26208,31600,0,1,16381,598.984
inst_52_4_0_0,100,75,13,0,26208,31600,0,1,16730,59.296
inst_52_4_0_0,100,75,14,0,26208,31600,0,1,16483,227.534
inst_52_4_0_0,100,125,0,0,26208,31600,0,1,16529,199.1416381
inst_52_4_0_0,100,125,1,0,26208,31600,0,1,16699,71.552
inst_52_4_0_0,100,125,2,0,26208,31600,0,1,16773,105.885
inst_52_4_0_0,100,125,3,0,26208,31600,0,1,16440,150.08
inst_52_4_0_0,100,125,4,0,26208,31600,0,1,16575,82.805
inst_52_4_0_0,100,125,5,0,26208,31600,0,1,16853,127.323
inst_52_4_0_0,100,125,6,0,26208,31600,0,1,16406,118.004
inst_52_4_0_0,100,125,7,0,26208,31600,0,1,16774,168.824
inst_52_4_0_0,100,125,8,0,26208,31600,0,1,17008,123.891
inst_52_4_0_0,100,125,9,0,26208,31600,0,1,16805,122.393
inst_52_4_0_0,100,125,10,0,26208,31600,0,1,16565,180.988
inst_52_4_0_0,100,125,11,0,26208,31600,0,1,16638,65.67
inst_52_4_0_0,100,125,12,0,26208,31600,0,1,16645,223.76
inst_52_4_0_0,100,125,13,0,26208,31600,0,1,16791,257.238
inst_52_4_0_0,100,125,14,0,26208,31600,0,1,16705,73.252
inst_52_4_0_0,100,125,15,0,26208,31600,0,1,16668,165.267
inst_52_4_0_0,100,125,16,0,26208,31600,0,1,16461,86.389
inst_52_4_0_0,100,125,17,0,26208,31600,0,1,16493,273.175
inst_52_4_0_0,100,125,18,0,26208,31600,0,1,16560,110.129
inst_52_4_0_0,100,125,19,0,26208,31600,0,1,16488,52.72
inst_52_4_0_0,100,125,20,0,26208,31600,0,1,16796,230.099
inst_52_4_0_0,100,125,21,0,26208,31600,0,1,16767,116.248
inst_52_4_0_0,100,125,22,0,26208,31600,0,1,16743,74.57
inst_52_4_0_0,100,125,23,0,26208,31600,0,1,16418,141.169
inst_52_4_0_0,100,125,24,0,26208,31600,0,1,16481,586.48
inst_52_4_0_0,100,175,0,0,26208,31600,0,0,17718,600.1691641
inst_52_4_0_0,100,175,1,0,26208,31600,0,1,17852,109.312
inst_52_4_0_0,100,175,2,0,26208,31600,0,0,18051,600.189
inst_52_4_0_0,100,175,3,0,26208,31600,0,1,18010,64.024
inst_52_4_0_0,100,175,4,0,26208,31600,0,1,17928,157.762
inst_52_4_0_0,100,175,5,0,26208,31600,0,1,17721,124.415
inst_52_4_0_0,100,175,6,0,26208,31600,0,0,17975,600.157
inst_52_4_0_0,100,175,7,0,26208,31600,0,1,18126,431.393
inst_52_4_0_0,100,175,8,0,26208,31600,0,1,17872,484.822
inst_52_4_0_0,100,175,9,0,26208,31600,0,0,17948,600.203
inst_52_4_0_0,100,175,10,0,26208,31600,0,1,18184,359.63
inst_52_4_0_0,100,175,11,0,26208,31600,0,1,17755,259.205
inst_52_4_0_0,100,175,12,0,26208,31600,0,0,18126,600.207
inst_52_4_0_0,100,175,13,0,26208,31600,0,1,17979,157.836
inst_52_4_0_0,100,175,14,0,26208,31600,0,1,17298,145.131
inst_52_4_0_0,100,175,15,0,26208,31600,0,1,17789,203.551
inst_52_4_0_0,100,175,16,0,26208,31600,0,1,17523,236.129
inst_52_4_0_0,100,175,17,0,26208,31600,0,1,17490,44.853
inst_52_4_0_0,100,175,18,0,26208,31600,0,1,17710,155.174
inst_52_4_0_0,100,175,19,0,26208,31600,0,1,17936,398.359
inst_52_4_0_0,100,175,20,0,26208,31600,0,1,17480,589.285
inst_52_4_0_0,100,175,21,0,26208,31600,0,1,17671,329.542
inst_52_4_0_0,100,175,22,0,26208,31600,0,1,17733,216.407
inst_52_4_0_0,100,175,23,0,26208,31600,0,1,17950,332.989
inst_52_4_0_0,100,175,24,0,26208,31600,0,1,17634,159.891
inst_52_4_0_0,100,175,25,0,26208,31600,0,1,17726,169.742
inst_52_4_0_0,100,175,26,0,26208,31600,0,1,17799,258.95
inst_52_4_0_0,100,175,27,0,26208,31600,0,0,17947,600.138
inst_52_4_0_0,100,175,28,0,26208,31600,0,0,18365,600.211
inst_52_4_0_0,100,175,29,0,26208,31600,0,1,17741,349.981
inst_52_4_0_0,100,175,30,0,26208,31600,0,1,17975,473.074
inst_52_4_0_0,100,175,31,0,26208,31600,0,0,17929,600.238
inst_52_4_0_0,100,175,32,0,26208,31600,0,1,17787,271.374
inst_52_4_0_0,100,175,33,0,26208,31600,0,1,17507,205.747
inst_52_4_0_0,100,175,34,0,26208,31600,0,0,17931,600.186
inst_52_4_0_0,100,175,34,0,26208,31600,0,0,17889,1200.33
inst_52_4_0_0,100,175,34,0,26208,31600,0,0,17889,1276.58
