Instance,num.scen.,num.boost,nmult,repet.,status,cur_numcols,cur_numrows,numInfeasibilities,objval,total_time
inst_52_4_0_0,100,75,0,0,0,26208,31600,0,16688,286.681
inst_52_4_0_0,100,75,0,1,0,26208,31600,0,16562,32.728
inst_52_4_0_0,100,75,0,2,0,26208,31600,0,16814,500.735
inst_52_4_0_0,100,75,0,3,0,26208,31600,0,16675,104.544
inst_52_4_0_0,100,75,0,4,0,26208,31600,0,16502,91.294
inst_52_4_0_0,100,75,0,5,0,26208,31600,0,16815,406.822
inst_52_4_0_0,100,75,0,6,0,26208,31600,0,16504,162.384
inst_52_4_0_0,100,75,0,7,0,26208,31600,0,16660,141.073
inst_52_4_0_0,100,75,0,8,0,26208,31600,0,16969,210.676
inst_52_4_0_0,100,75,0,9,0,26208,31600,0,16671,161.473
inst_52_4_0_0,100,75,0,10,0,26208,31600,0,16512,185.679
inst_52_4_0_0,100,75,0,11,0,26208,31600,0,16663,277.775
inst_52_4_0_0,100,75,0,12,0,26208,31600,0,16481,598.984
inst_52_4_0_0,100,75,0,13,0,26208,31600,0,16730,59.296
inst_52_4_0_0,100,75,0,14,0,26208,31600,0,16683,227.534
inst_52_4_0_0,100,75,4,0,0,26208,31600,0,16513,67.816
inst_52_4_0_0,100,75,4,1,0,26208,31600,0,16467,186.76
inst_52_4_0_0,100,75,4,2,0,26208,31600,0,16413,27.32
inst_52_4_0_0,100,75,4,3,0,26208,31600,0,16303,119.354
inst_52_4_0_0,100,75,4,4,0,26208,31600,0,16172,161.978
inst_52_4_0_0,100,75,4,5,0,26208,31600,0,16388,308.804
inst_52_4_0_0,100,75,4,6,0,26208,31600,0,16554,135.995
inst_52_4_0_0,100,75,4,7,0,26208,31600,0,16603,164.29
inst_52_4_0_0,100,75,4,8,0,26208,31600,0,16412,104.151
inst_52_4_0_0,100,75,4,9,0,26208,31600,0,16700,139.8
inst_52_4_0_0,100,75,4,10,0,26208,31600,0,16616,92.363
inst_52_4_0_0,100,75,4,11,0,26208,31600,0,16309,111.851
inst_52_4_0_0,100,75,4,12,0,26208,31600,0,16366,62.079
inst_52_4_0_0,100,75,4,13,0,26208,31600,0,16674,113.193
inst_52_4_0_0,100,75,4,14,0,26208,31600,0,16603,104.316
inst_52_4_0_0,100,75,8,0,0,26208,31600,0,16497,176.975
inst_52_4_0_0,100,75,8,1,0,26208,31600,0,16520,166.087
inst_52_4_0_0,100,75,8,2,0,26208,31600,0,16382,257.439
inst_52_4_0_0,100,75,8,3,0,26208,31600,0,16440,85.785
inst_52_4_0_0,100,75,8,4,0,26208,31600,0,16194,85.074
inst_52_4_0_0,100,75,8,5,0,26208,31600,0,16406,94.243
inst_52_4_0_0,100,75,8,6,0,26208,31600,0,16376,41.892
inst_52_4_0_0,100,75,8,7,0,26208,31600,0,16461,125.448
inst_52_4_0_0,100,75,8,8,0,26208,31600,0,16395,93.802
inst_52_4_0_0,100,75,8,9,0,26208,31600,0,16411,51.039
inst_52_4_0_0,100,75,8,10,0,26208,31600,0,16669,207.992
inst_52_4_0_0,100,75,8,11,0,26208,31600,0,16086,37.737
inst_52_4_0_0,100,75,8,12,0,26208,31600,0,16635,78.931
inst_52_4_0_0,100,75,8,13,0,26208,31600,0,16340,143.227
inst_52_4_0_0,100,75,8,14,0,26208,31600,0,16564,120.568
inst_52_4_0_0,100,75,12,0,0,26208,31600,0,16511,100.753
inst_52_4_0_0,100,75,12,1,0,26208,31600,0,16366,66.529
inst_52_4_0_0,100,75,12,2,0,26208,31600,0,16232,166.115
inst_52_4_0_0,100,75,12,3,0,26208,31600,0,16552,119.321
inst_52_4_0_0,100,75,12,4,0,26208,31600,0,16332,105.992
inst_52_4_0_0,100,75,12,5,0,26208,31600,0,16339,318.788
inst_52_4_0_0,100,75,12,6,0,26208,31600,0,16392,392.323
inst_52_4_0_0,100,75,12,7,0,26208,31600,0,16341,592.248
inst_52_4_0_0,100,75,12,8,0,26208,31600,0,16195,110.459
inst_52_4_0_0,100,75,12,9,0,26208,31600,0,16447,146.151
inst_52_4_0_0,100,75,12,10,0,26208,31600,0,16506,205.427
inst_52_4_0_0,100,75,12,11,0,26208,31600,0,16447,179.321
inst_52_4_0_0,100,75,12,12,0,26208,31600,0,16334,160.913
inst_52_4_0_0,100,75,12,13,0,26208,31600,0,16480,146.005
inst_52_4_0_0,100,75,12,14,0,26208,31600,0,16476,225.428
