idserie,month,periodo,val
0,Jan-19,0,16
0,Feb-19,1,15
0,Mar-19,2,16
0,Apr-19,3,16
0,May-19,4,17
0,Jun-19,5,17
0,Jul-19,6,18
0,Aug-19,7,17
0,Sep-19,8,18
0,Oct-19,9,18
0,Nov-19,10,17
0,Dec-19,11,21
0,Jan-20,12,19
0,Feb-20,13,14
0,Mar-20,14,15
0,Apr-20,15,16
0,May-20,16,19
0,Jun-20,17,19
0,Jul-20,18,20
0,Aug-20,19,19
0,Sep-20,20,19
0,Oct-20,21,21
0,Nov-20,22,19
0,Dec-20,23,21
0,Jan-21,24,19
0,Feb-21,25,20
0,Mar-21,26,20
0,Apr-21,27,20
0,May-21,28,19
0,Jun-21,29,22
0,Jul-21,30,21
0,Aug-21,31,21
0,Sep-21,32,22
0,Oct-21,33,21
0,Nov-21,34,22
0,Dec-21,35,26
0,Jan-22,36,21
0,Feb-22,37,21
0,Mar-22,38,21
0,Apr-22,39,22
0,May-22,40,22
0,Jun-22,41,22
0,Jul-22,42,22
0,Aug-22,43,22
0,Sep-22,44,23
0,Oct-22,45,23
0,Nov-22,46,22
0,Dec-22,47,24
1,Jan-19,0,22
1,Feb-19,1,22
1,Mar-19,2,22
1,Apr-19,3,23
1,May-19,4,23
1,Jun-19,5,22
1,Jul-19,6,23
1,Aug-19,7,22
1,Sep-19,8,22
1,Oct-19,9,23
1,Nov-19,10,22
1,Dec-19,11,24
1,Jan-20,12,23
1,Feb-20,13,19
1,Mar-20,14,17
1,Apr-20,15,20
1,May-20,16,22
1,Jun-20,17,22
1,Jul-20,18,22
1,Aug-20,19,22
1,Sep-20,20,22
1,Oct-20,21,22
1,Nov-20,22,22
1,Dec-20,23,24
1,Jan-21,24,21
1,Feb-21,25,21
1,Mar-21,26,21
1,Apr-21,27,22
1,May-21,28,22
1,Jun-21,29,22
1,Jul-21,30,21
1,Aug-21,31,22
1,Sep-21,32,22
1,Oct-21,33,22
1,Nov-21,34,22
1,Dec-21,35,22
1,Jan-22,36,21
1,Feb-22,37,21
1,Mar-22,38,21
1,Apr-22,39,21
1,May-22,40,21
1,Jun-22,41,22
1,Jul-22,42,22
1,Aug-22,43,21
1,Sep-22,44,21
1,Oct-22,45,22
1,Nov-22,46,21
1,Dec-22,47,23
2,Jan-19,0,19
2,Feb-19,1,18
2,Mar-19,2,18
2,Apr-19,3,18
2,May-19,4,19
2,Jun-19,5,19
2,Jul-19,6,19
2,Aug-19,7,19
2,Sep-19,8,20
2,Oct-19,9,21
2,Nov-19,10,20
2,Dec-19,11,22
2,Jan-20,12,20
2,Feb-20,13,16
2,Mar-20,14,16
2,Apr-20,15,18
2,May-20,16,20
2,Jun-20,17,21
2,Jul-20,18,21
2,Aug-20,19,22
2,Sep-20,20,22
2,Oct-20,21,23
2,Nov-20,22,22
2,Dec-20,23,25
2,Jan-21,24,23
2,Feb-21,25,20
2,Mar-21,26,22
2,Apr-21,27,21
2,May-21,28,22
2,Jun-21,29,22
2,Jul-21,30,23
2,Aug-21,31,23
2,Sep-21,32,22
2,Oct-21,33,23
2,Nov-21,34,23
2,Dec-21,35,27
2,Jan-22,36,22
2,Feb-22,37,21
2,Mar-22,38,23
2,Apr-22,39,24
2,May-22,40,24
2,Jun-22,41,24
2,Jul-22,42,24
2,Aug-22,43,24
2,Sep-22,44,25
2,Oct-22,45,25
2,Nov-22,46,26
