name,num.scen.,num.boost,repet.,status,cur_numcols,cur_numrows,numInfeasibilities,zlb,objval,finalLb,total_time,gaplin,gapfin,,,
inst_52_4_0_0_q2,100,75,0,0,26208,31600,0,4659950,5578090,4694060,600.082,0.16,0.16,,,
inst_52_4_0_0_q2,100,75,1,0,26208,31600,0,4929120,5779710,4958320,600.095,0.15,0.14,,,
inst_52_4_0_0_q2,100,75,2,0,26208,31600,0,4709810,5506660,4751840,600.08,0.14,0.14,,,
inst_52_4_0_0_q2,100,75,3,0,26208,31600,0,4744710,5583830,4780030,600.086,0.15,0.14,,,
inst_52_4_0_0_q2,100,75,4,0,26208,31600,0,4729570,5848590,4740840,600.096,0.19,0.19,,,
inst_52_4_0_0_q2,100,75,5,0,26208,31600,0,4872630,5857740,4913150,600.127,0.17,0.16,,,
inst_52_4_0_0_q2,100,75,6,0,26208,31600,2,4715100,8953800,4731840,600.077,0.47,0.47,,,
inst_52_4_0_0_q2,100,75,7,0,26208,31600,0,4702840,5498020,4727180,600.091,0.14,0.14,,,
inst_52_4_0_0_q2,100,75,8,0,26208,31600,0,4776110,5662730,4820750,600.159,0.16,0.15,,,
inst_52_4_0_0_q2,100,75,9,0,26208,31600,0,4666320,5547860,4701220,600.098,0.16,0.15,,,
inst_52_4_0_0_q2,100,75,10,0,26208,31600,0,4719460,5714620,4755890,600.108,0.17,0.17,,,
inst_52_4_0_0_q2,100,75,11,0,26208,31600,0,4703760,5547090,4728350,600.197,0.15,0.15,,,
inst_52_4_0_0_q2,100,75,12,0,26208,31600,0,4734500,5646250,4761670,600.1,0.16,0.16,,,
inst_52_4_0_0_q2,100,75,13,0,26208,31600,0,4733680,5641120,4745160,600.097,0.16,0.16,,,
inst_52_4_0_0_q2,100,75,14,0,26208,31600,0,4822500,5541020,4832960,600.099,0.13,0.13,0.18,0.17,
inst_52_4_0_0_q2,100,75,0,0,26208,31600,0,4757290,5714400,4785950,1200.3,0.17,0.16,,,
inst_52_4_0_0_q2,100,75,1,0,26208,31600,0,4741670,5482920,4778080,1200.1,0.14,0.13,,,
inst_52_4_0_0_q2,100,75,2,0,26208,31600,0,4741990,5538270,4756500,1200.2,0.14,0.14,,,
inst_52_4_0_0_q2,100,75,3,0,26208,31600,0,4739400,5705390,4792250,1200.28,0.17,0.16,,,
inst_52_4_0_0_q2,100,75,4,0,26208,31600,0,4709370,5698020,4751990,1200.11,0.17,0.17,,,
inst_52_4_0_0_q2,100,75,5,0,26208,31600,0,4725030,5576710,4746900,1200.07,0.15,0.15,,,
inst_52_4_0_0_q2,100,75,6,0,26208,31600,0,4852670,5613280,4875550,1200.08,0.14,0.13,,,
inst_52_4_0_0_q2,100,75,7,0,26208,31600,0,4731280,5555900,4759810,1200.12,0.15,0.14,,,
inst_52_4_0_0_q2,100,75,8,0,26208,31600,0,4738030,5600130,4767190,1200.11,0.15,0.15,,,
inst_52_4_0_0_q2,100,75,9,0,26208,31600,0,4821450,5618360,4863640,1200.21,0.14,0.13,,,
inst_52_4_0_0_q2,100,75,10,0,26208,31600,0,4694180,5494090,4724960,1200.09,0.15,0.14,,,
inst_52_4_0_0_q2,100,75,11,0,26208,31600,0,4780450,5572370,4823100,1200.14,0.14,0.13,,,
inst_52_4_0_0_q2,100,75,12,0,26208,31600,0,4822260,5510180,4842520,1200.12,0.12,0.12,,,
inst_52_4_0_0_q2,100,75,13,0,26208,31600,0,4863100,5555010,4875540,1200.3,0.12,0.12,,,
inst_52_4_0_0_q2,100,75,14,0,26208,31600,0,4797870,5721200,4863440,1200.15,0.16,0.15,0.15,0.14,
inst_52_4_0_0_q2,100,75,0,0,26208,31600,0,4683340,5495480,4731280,3600.21,0.15,0.14,,,
inst_52_4_0_0_q2,100,75,1,0,26208,31600,0,4774120,5655170,4824430,3600.1,0.16,0.15,,,
inst_52_4_0_0_q2,100,75,2,0,26208,31600,0,4871660,5633620,4920160,3600.11,0.14,0.13,,,
inst_52_4_0_0_q2,100,75,3,0,26208,31600,0,4885030,5712080,4906310,3600.12,0.14,0.14,,,
inst_52_4_0_0_q2,100,75,4,0,26208,31600,0,4724850,5522100,4777860,3600.13,0.14,0.13,,,
inst_52_4_0_0_q2,100,75,5,0,26208,31600,0,4862790,5734930,4969720,3600.11,0.15,0.13,,,
inst_52_4_0_0_q2,100,75,6,0,26208,31600,0,4939320,5653700,5013560,3600.18,0.13,0.11,,,
inst_52_4_0_0_q2,100,75,7,0,26208,31600,0,4837000,5579880,4865630,3600.27,0.13,0.13,,,
inst_52_4_0_0_q2,100,75,8,0,26208,31600,0,4692950,5580140,4734350,3600.72,0.16,0.15,,,
inst_52_4_0_0_q2,100,75,9,0,26208,31600,0,4653080,5476670,4718410,3600.14,0.15,0.14,,,
inst_52_4_0_0_q2,100,75,10,0,26208,31600,0,4682760,5566600,4730330,3600.18,0.16,0.15,,,
inst_52_4_0_0_q2,100,75,11,0,26208,31600,0,4846080,5647310,4887490,3600.11,0.14,0.13,,,
inst_52_4_0_0_q2,100,75,12,0,26208,31600,0,4797200,5625640,4849160,3600.22,0.15,0.14,,,
