n,m,nmult,,numcols,numrows,zlb,objval,finalLb,time
52,4,0,up,416,316,530841,531101,531048,1.367
52,4,0,down,416,316,304886,304886,304886,0.011
52,4,0,up,416,316,782290,782383,782345,0.238
52,4,0,down,416,316,944883,945242,945148,0.221
52,4,0,up,416,316,748549,748855,748780,1.103
52,4,0,down,416,316,825441,825761,825679,0.677
52,4,0,up,416,316,650381,650601,650536,0.332
52,4,0,down,416,316,918748,919325,919233,13.898
52,4,0,up,416,316,1205340,1205450,1205430,0.268
52,4,0,down,416,316,1339940,1340480,1340340,64.217
50,5,0,up,500,355,809132,809292,809239,0.321
50,5,0,down,500,355,1350410,1351080,1350970,0.997
50,5,0,up,500,355,1039570,1040320,1040220,8.148
50,5,0,down,500,355,585688,586424,586365,16.275
50,5,0,up,500,355,1029510,1030180,1030080,7.493
50,5,0,down,500,355,395014,395310,395294,0.383
50,5,0,up,500,355,791657,792044,791990,2.034
50,5,0,down,500,355,988637,989181,989082,15.822
50,5,0,up,500,355,612048,612299,612238,0.454
50,5,0,down,500,355,1061510,1061880,1061770,1.47
100,5,0,up,1000,705,2563110,2563600,2563430,4.095
100,5,0,down,1000,705,2508680,2509170,2508920,2.835
100,5,0,up,1000,705,3171260,3171990,3171680,31.201
100,5,0,down,1000,705,2178310,2178970,2178850,2.348
100,5,0,up,1000,705,3189340,3189900,3189580,1.763
100,5,0,down,1000,705,2341790,2342080,2341920,0.85
100,5,0,up,1000,705,2268390,2268660,2268540,1.99
100,5,0,down,1000,705,2669580,2670060,2669880,14.678
100,5,0,up,1000,705,2726780,2727390,2727130,1.973
100,5,0,down,1000,705,2924810,2925340,2925170,10.846
200,5,0,up,2000,1405,6663830,6664460,6663930,7.019
200,5,0,down,2000,1405,5704680,5705430,5704880,8.241
200,5,0,up,2000,1405,5922670,5923380,5922790,0.168
200,5,0,down,2000,1405,6596330,6596900,6596390,1.47
200,5,0,up,2000,1405,6432210,6432650,6432480,3.656
200,5,0,down,2000,1405,6382740,6383470,6382980,5.67
200,5,0,up,2000,1405,7667530,7668110,7667550,0.261
200,5,0,down,2000,1405,9645940,9646560,9646090,4.348
200,5,0,up,2000,1405,7053770,7054240,7053860,6.905
200,5,0,down,2000,1405,5846840,5847290,5846900,0.555
